CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-15 12:55:23.872000-07:00,2023-08-15 12:55:23.872000-07:00,CREATE USER,ACCOUNT,IU66053,,,ROLE,USERADMIN,True,,,
2023-08-15 12:55:23.863000-07:00,2023-08-15 12:55:23.863000-07:00,USAGE,ROLE,SYSADMIN,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-15 12:55:23.909000-07:00,2023-08-15 12:55:23.909000-07:00,CREATE RESOURCE MONITOR,ACCOUNT,IU66053,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-15 12:55:23.891000-07:00,2023-08-15 12:55:23.891000-07:00,EXECUTE MANAGED TASK,ACCOUNT,IU66053,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-15 12:55:23.908000-07:00,2023-08-15 12:55:23.908000-07:00,MODIFY,ACCOUNT,IU66053,,,ROLE,ACCOUNTADMIN,False,,,
2023-08-17 11:45:58.556000-07:00,2023-08-17 11:45:58.556000-07:00,USAGE,ROLE,IUF_INTERNAL_REPORTS_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:44:36.744000-07:00,2023-08-17 11:44:36.744000-07:00,USAGE,ROLE,IUF_EXTERNAL_REPORTS_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:37:06.581000-07:00,2023-08-17 11:37:06.581000-07:00,USAGE,ROLE,ADVENTUREWORKS_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:45:16.700000-07:00,2023-08-17 11:45:16.700000-07:00,USAGE,ROLE,IUF_EXTERNAL_REPORTS_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:42:32.567000-07:00,2023-08-17 11:42:32.567000-07:00,USAGE,ROLE,FEM_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:45:35.036000-07:00,2023-08-17 11:45:35.036000-07:00,USAGE,ROLE,IUF_INTERNAL_REPORTS_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:37:16.896000-07:00,2023-08-17 11:37:16.896000-07:00,USAGE,ROLE,ADVENTUREWORKS_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:39:16.791000-07:00,2023-08-17 11:39:16.791000-07:00,USAGE,ROLE,DAYFORCE_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:42:11.059000-07:00,2023-08-17 11:42:11.059000-07:00,USAGE,ROLE,DAYFORCE_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
2023-08-17 11:46:05.111000-07:00,2023-08-17 11:46:05.111000-07:00,USAGE,ROLE,SMART_RECRUITER_DEV_READONLY,,,ROLE,GLOBAL_READONLY,False,USERADMIN,,ROLE
