CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-08-17 11:55:38.799000-07:00,,FEM_ADMIN,,USERADMIN,ROLE,
2023-08-17 09:18:56.597000-07:00,,ADVENTUREWORKS_READONLY,,USERADMIN,ROLE,
2023-08-15 13:42:59.174000-07:00,,FEM_EDITOR,,USERADMIN,ROLE,
2023-08-17 12:00:41.342000-07:00,,IUF_EXTERNAL_REPORTS_DEV_ADMIN,,USERADMIN,ROLE,
2023-08-17 12:04:50.106000-07:00,,ADVENTUREWORKS_DEV_ADMIN,,USERADMIN,ROLE,
2023-08-15 13:38:44.856000-07:00,2023-08-15 13:45:52.225000-07:00,IUF_EXTERNAL_REPORTS_UNDEFINED_READONLY,,,ROLE,
2023-08-15 12:55:23.799000-07:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
2023-08-15 13:38:24.867000-07:00,,DAYFORCE_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-17 11:54:50.316000-07:00,,DAYFORCE_ADMIN,,USERADMIN,ROLE,
2023-08-15 13:37:49.501000-07:00,,FEM_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:35:56.663000-07:00,,CRIMSON_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:38:54.633000-07:00,,IUF_EXTERNAL_REPORTS_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:00:28.949000-07:00,,ADMINISTRATIVE_READONLY,,SECURITYADMIN,ROLE,
2023-08-17 12:11:12.425000-07:00,,ADMINISTRATIVE_ADMIN,,USERADMIN,ROLE,
2023-08-17 11:55:24.469000-07:00,,CRIMSON_DEV_ADMIN,,USERADMIN,ROLE,
2023-08-17 09:18:56.767000-07:00,,ADVENTUREWORKS_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:38:54.510000-07:00,,IUF_EXTERNAL_REPORTS_DEV_READONLY,,USERADMIN,ROLE,
2023-08-15 13:40:12.360000-07:00,,ADVENTUREWORKS_DEV_READONLY,,USERADMIN,ROLE,
2023-08-15 13:48:40.993000-07:00,,DATAFORCE,,SECURITYADMIN,ROLE,
2023-08-15 13:38:31.381000-07:00,2023-08-15 13:46:19.866000-07:00,SMART_RECRUITER_UNDEFINED_EDITOR,,,ROLE,
2023-08-15 13:40:12.484000-07:00,,ADVENTUREWORKS_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-17 09:19:43.974000-07:00,,SMART_RECRUITER_READONLY,,USERADMIN,ROLE,
2023-08-15 13:39:05.527000-07:00,2023-08-15 13:45:12.344000-07:00,ADVENTUREWORKS_UNDEFINED_READONLY,,,ROLE,
2023-08-15 13:38:17.948000-07:00,2023-08-15 13:45:26.044000-07:00,DAYFORCE_UNDEFINED_READONLY,,,ROLE,
2023-08-17 12:11:38.558000-07:00,,ADMINISTRATIVE_DEV_READONLY,,USERADMIN,ROLE,
2023-08-15 13:50:57.840000-07:00,,DAYFORCE_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:17:59.391000-07:00,,CRIMSON_EDITOR,,USERADMIN,ROLE,
2023-08-15 13:38:06.579000-07:00,,IUF_INTERNAL_REPORTS_DEV_EDITOR,,USERADMIN,ROLE,
2023-08-17 11:56:11.957000-07:00,,IUF_INTERNAL_REPORTS_ADMIN,,USERADMIN,ROLE,
