CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-06-29 06:58:11.484000-07:00,,SYSADMIN,System administrator can create and manage databases and warehouses.,,ROLE,
2023-07-26 13:58:31.451000-07:00,,SMART_RECRUITER_EDITOR_STG,,ACCOUNTADMIN,ROLE,
2023-07-05 11:48:10.348000-07:00,,SALESFORCE_USER,,ACCOUNTADMIN,ROLE,
2023-07-24 07:32:31.410000-07:00,,GROUP_A_EDITOR,,ACCOUNTADMIN,ROLE,
2023-07-05 11:44:43.578000-07:00,,DATA_TEAM,,ACCOUNTADMIN,ROLE,
2023-06-29 06:58:11.429000-07:00,,ACCOUNTADMIN,Account administrator can manage all aspects of the account.,,ROLE,
2023-06-29 06:58:11.747000-07:00,,ORGADMIN,Organization administrator can manage organizations and accounts in organizations,,ROLE,
2023-07-05 11:48:15.721000-07:00,,SALESFORCE_USER_STG,,ACCOUNTADMIN,ROLE,
2023-06-29 06:58:11.509000-07:00,,USERADMIN,,,ROLE,
2023-06-29 07:02:23.056000-07:00,,FIVETRAN_ROLE,,ACCOUNTADMIN,ROLE,
2023-07-05 11:43:49.797000-07:00,,CRIMSON_USER_STG,,ACCOUNTADMIN,ROLE,
2023-07-26 13:58:19.577000-07:00,,SMART_RECRUITER_ADMIN,,ACCOUNTADMIN,ROLE,
2023-07-24 07:32:57.988000-07:00,,GROUP_A_EDITOR_STG,,ACCOUNTADMIN,ROLE,
2023-07-05 11:54:22.933000-07:00,,SALESFORCE_ADMIN,,ACCOUNTADMIN,ROLE,
2023-07-12 09:22:57.057000-07:00,,VHOL,,ACCOUNTADMIN,ROLE,
2023-07-05 11:46:36.337000-07:00,,IUF_DEPARTMENTS,,ACCOUNTADMIN,ROLE,
2023-07-26 13:58:10.682000-07:00,,SMART_RECRUITER_USER,,ACCOUNTADMIN,ROLE,
2023-07-05 12:05:54.401000-07:00,,DATA_TEAM_STG,,ACCOUNTADMIN,ROLE,
2023-06-29 06:58:11.465000-07:00,,SECURITYADMIN,Security administrator can manage security aspects of the account.,,ROLE,
2023-07-26 09:47:09.700000-07:00,,NEW_ROLE_TEST_DELAY,,ACCOUNTADMIN,ROLE,
2023-07-05 11:11:18.620000-07:00,,GROUP_A_USER,,ACCOUNTADMIN,ROLE,
2023-07-26 13:58:38.037000-07:00,,SMART_RECRUITER_ADMIN_STG,,ACCOUNTADMIN,ROLE,
2023-07-05 11:47:59.835000-07:00,,CRIMSON_USER,,ACCOUNTADMIN,ROLE,
2023-07-05 11:48:34.243000-07:00,,IUF_DEPARTMENTS_STG,,ACCOUNTADMIN,ROLE,
2023-07-26 13:58:25.201000-07:00,,SMART_RECRUITER_EDITOR,,ACCOUNTADMIN,ROLE,
2023-07-26 13:58:42.983000-07:00,,SMART_RECRUITER_USER_STG,,ACCOUNTADMIN,ROLE,
2023-07-14 10:28:40.402000-07:00,,PYTHONRUN,,ACCOUNTADMIN,ROLE,
2023-07-05 10:02:08.661000-07:00,,GROUP_A_USER_STG,,ACCOUNTADMIN,ROLE,
2023-06-30 08:24:50.184000-07:00,,PC_INFORMATICA_ROLE,System created role for partner elt integration.,ACCOUNTADMIN,ROLE,
2023-07-05 11:55:52.768000-07:00,,CRIMSON_ADMIN_STG,,ACCOUNTADMIN,ROLE,
2023-07-17 10:27:10.732000-07:00,,PC_INFORMATICALOADER_ROLE,System created role for partner elt integration.,ACCOUNTADMIN,ROLE,
2023-06-29 06:58:11.409000-07:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
2023-07-05 11:55:40.498000-07:00,,SALESFORCE_ADMIN_STG,,ACCOUNTADMIN,ROLE,
2023-07-05 11:56:40.002000-07:00,,CRIMSON_ADMIN,,ACCOUNTADMIN,ROLE,
