CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-07-24 07:23:09.018000-07:00,2023-07-24 07:23:09.018000-07:00,MANAGE ORGANIZATION ACCOUNTS,ACCOUNT,NUB26673,,,ROLE,ORGADMIN,True,,,
2023-07-24 07:23:08.877000-07:00,2023-07-24 07:23:08.877000-07:00,CREATE ROLE,ACCOUNT,NUB26673,,,ROLE,USERADMIN,True,,,
2023-07-24 07:23:08.879000-07:00,2023-07-24 07:23:08.879000-07:00,MANAGE GRANTS,ACCOUNT,NUB26673,,,ROLE,SECURITYADMIN,True,,,
2023-07-24 07:23:08.900000-07:00,2023-07-24 07:23:08.900000-07:00,CREATE RESOURCE MONITOR,ACCOUNT,NUB26673,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-24 07:23:08.883000-07:00,2023-07-24 07:23:08.883000-07:00,MONITOR USAGE,ACCOUNT,NUB26673,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-24 07:23:08.890000-07:00,2023-07-24 07:23:08.890000-07:00,APPLY MASKING POLICY,ACCOUNT,NUB26673,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-24 07:23:08.898000-07:00,2023-07-24 07:23:08.898000-07:00,MODIFY,ACCOUNT,NUB26673,,,ROLE,ACCOUNTADMIN,False,,,
2023-07-24 07:23:08.886000-07:00,2023-07-24 07:23:08.886000-07:00,CREATE INTEGRATION,ACCOUNT,NUB26673,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-24 07:23:08.877000-07:00,2023-07-24 07:23:08.877000-07:00,CREATE USER,ACCOUNT,NUB26673,,,ROLE,USERADMIN,True,,,
2023-07-24 07:23:08.901000-07:00,2023-07-24 07:23:08.901000-07:00,USAGE,ACCOUNT,NUB26673,,,ROLE,PUBLIC,False,,,
2023-07-24 12:47:56.014000-07:00,2023-07-24 12:47:56.014000-07:00,UPDATE,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.008000-07:00,2023-07-24 12:47:56.008000-07:00,INSERT,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.011000-07:00,2023-07-24 12:47:56.011000-07:00,REBUILD,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.010000-07:00,2023-07-24 12:47:56.010000-07:00,REFERENCES,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.012000-07:00,2023-07-24 12:47:56.012000-07:00,SELECT,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.004000-07:00,2023-07-24 12:47:56.004000-07:00,DELETE,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
2023-07-24 12:47:56.013000-07:00,2023-07-24 12:47:56.013000-07:00,TRUNCATE,TABLE,FOGGY_TABLE,DSS_1_DEV_DB,DEMO,ROLE,DEV_STG_FULL,False,DEV_STG_FULL,,ROLE
