CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-14 08:23:25.151000-07:00,2023-08-14 08:23:25.151000-07:00,APPLY MASKING POLICY,ACCOUNT,FV70710,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-14 08:23:25.152000-07:00,2023-08-14 08:23:25.152000-07:00,APPLY ROW ACCESS POLICY,ACCOUNT,FV70710,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-14 08:23:25.142000-07:00,2023-08-14 08:23:25.142000-07:00,CREATE DATABASE,ACCOUNT,FV70710,,,ROLE,SYSADMIN,True,,,
2023-08-14 08:23:25.162000-07:00,2023-08-14 08:23:25.162000-07:00,CREATE RESOURCE MONITOR,ACCOUNT,FV70710,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-14 08:23:25.137000-07:00,2023-08-14 08:23:25.137000-07:00,CREATE ROLE,ACCOUNT,FV70710,,,ROLE,USERADMIN,True,,,
2023-08-14 08:23:25.139000-07:00,2023-08-14 08:23:25.139000-07:00,MANAGE GRANTS,ACCOUNT,FV70710,,,ROLE,SECURITYADMIN,True,,,
2023-08-14 08:23:25.283000-07:00,2023-08-14 08:23:25.283000-07:00,MANAGE ORGANIZATION ACCOUNTS,ACCOUNT,FV70710,,,ROLE,ORGADMIN,True,,,
2023-08-14 08:23:25.146000-07:00,2023-08-14 08:23:25.146000-07:00,CREATE ACCOUNT,ACCOUNT,FV70710,,,ROLE,ACCOUNTADMIN,True,,,
2023-08-31 08:00:15.039000-07:00,2023-08-31 08:00:15.039000-07:00,CREATE FILE FORMAT,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:36.759000-07:00,2023-08-25 11:37:36.759000-07:00,CREATE MASKING POLICY,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 09:15:53.809000-07:00,2023-08-25 09:15:53.809000-07:00,CREATE MASKING POLICY,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 10:52:22.269000-07:00,2023-08-25 10:52:22.269000-07:00,CREATE MASKING POLICY,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:28:52.614000-07:00,2023-08-25 11:31:18.096000-07:00,CREATE PROCEDURE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:18.096000-07:00,ROLE
2023-08-25 11:37:33.754000-07:00,2023-08-25 11:37:33.754000-07:00,USAGE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:28:52.619000-07:00,2023-08-25 11:31:18.087000-07:00,MONITOR,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:18.087000-07:00,ROLE
2023-08-31 08:00:15.038000-07:00,2023-08-31 08:00:15.038000-07:00,CREATE EXTERNAL TABLE,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:31:22.157000-07:00,2023-08-25 11:37:33.501000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.501000-07:00,ROLE
2023-08-25 11:31:22.349000-07:00,2023-08-25 11:37:33.504000-07:00,CREATE FUNCTION,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.504000-07:00,ROLE
2023-08-31 08:00:14.963000-07:00,2023-08-31 08:00:14.963000-07:00,CREATE VIEW,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:12.624000-07:00,2023-08-31 08:00:12.624000-07:00,CREATE FILE FORMAT,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:15.040000-07:00,2023-08-31 08:00:15.040000-07:00,CREATE FUNCTION,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:20:53.532000-07:00,2023-08-25 09:50:59.651000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.651000-07:00,ROLE
2023-08-25 11:28:01.338000-07:00,2023-08-25 11:31:17.843000-07:00,CREATE TEMPORARY TABLE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:17.843000-07:00,ROLE
2023-08-25 11:37:36.226000-07:00,2023-08-25 11:37:36.226000-07:00,CREATE STAGE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.280000-07:00,2023-08-25 11:37:35.280000-07:00,CREATE FUNCTION,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:52:18.959000-07:00,2023-08-25 10:52:18.959000-07:00,OWNERSHIP,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-08-25 11:31:22.276000-07:00,2023-08-25 11:37:33.548000-07:00,CREATE FILE FORMAT,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.548000-07:00,ROLE
2023-08-25 10:03:31.927000-07:00,2023-08-25 10:03:31.927000-07:00,CREATE STAGE,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 10:03:29.495000-07:00,2023-08-25 10:03:29.495000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:34.825000-07:00,2023-08-25 11:37:34.825000-07:00,CREATE PROCEDURE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
