EVENT_ID,EVENT_TIMESTAMP,EVENT_TYPE,USER_NAME,CLIENT_IP,REPORTED_CLIENT_TYPE,REPORTED_CLIENT_VERSION,FIRST_AUTHENTICATION_FACTOR,SECOND_AUTHENTICATION_FACTOR,IS_SUCCESS,ERROR_CODE,ERROR_MESSAGE,RELATED_EVENT_ID,CONNECTION
2591626253,2023-08-25 10:55:12.842000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591627273,2023-08-25 10:55:00.105000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591626249,2023-08-25 08:19:40.817000-07:00,LOGIN,FROMTHEBLOCK1,68.68.95.16,JDBC_DRIVER,3.13.6,PASSWORD,,YES,,,0,
2591626245,2023-08-25 08:19:23.812000-07:00,LOGIN,FROMTHEBLOCK1,68.68.95.16,JDBC_DRIVER,3.13.6,PASSWORD,,YES,,,0,
2591624709,2023-08-25 08:16:07.617000-07:00,LOGIN,FROMTHEBLOCK1,68.68.95.16,SNOWFLAKE_UI,20230825111604,PASSWORD,,YES,,,0,
2591624713,2023-08-25 08:19:52.110000-07:00,LOGIN,FROMTHEBLOCK1,68.68.95.16,JDBC_DRIVER,3.13.6,PASSWORD,,YES,,,0,
2591625737,2023-08-25 08:19:20.386000-07:00,LOGIN,FROMTHEBLOCK1,68.68.95.16,JDBC_DRIVER,3.13.6,PASSWORD,,YES,,,0,
10123524,2023-08-14 08:23:27.783000-07:00,LOGIN,SNOWFLAKE,0.0.0.0,JAVASCRIPT_DRIVER,1.6.21,PASSWORD,,YES,,,0,
2591624717,2023-08-25 10:47:10.226000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591626757,2023-08-25 10:46:16.945000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591621637,2023-08-23 13:30:48.363000-07:00,LOGIN,WARLYBARD1,140.182.107.15,SNOWFLAKE_UI,20230823163022,PASSWORD,,YES,,,0,
2591623685,2023-08-24 10:09:11.995000-07:00,LOGIN,WARLYBARD1,140.182.107.1,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591623177,2023-08-24 10:16:57.991000-07:00,LOGIN,WARLYBARD1,140.182.107.1,SNOWFLAKE_UI,20230824131648,PASSWORD,,YES,,,0,
2591623173,2023-08-24 10:07:01.743000-07:00,LOGIN,WARLYBARD1,140.182.107.1,SNOWFLAKE_UI,20230824130657,PASSWORD,,YES,,,0,
2591623181,2023-08-24 13:12:35.292000-07:00,LOGIN,FROMTHEBLOCK1,140.182.107.4,SNOWFLAKE_UI,20230824161147,PASSWORD,,YES,,,0,
2591623689,2023-08-24 13:11:54.675000-07:00,LOGIN,FROMTHEBLOCK1,140.182.107.4,SNOWFLAKE_UI,20230824161147,PASSWORD,,NO,390106,PASSWORD_EXPIRED,0,
2591625225,2023-08-25 10:48:12.028000-07:00,LOGIN,WARLYBARD1,73.103.50.141,SNOWFLAKE_UI,20230825134808,PASSWORD,,YES,,,0,
2591627269,2023-08-25 10:54:32.694000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
2591627277,2023-08-25 11:01:01.798000-07:00,LOGIN,WARLYBARD1,73.103.50.141,PYTHON_DRIVER,3.0.4,PASSWORD,,YES,,,0,
