CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-08-14 08:23:25.116000-07:00,,ACCOUNTADMIN,Account administrator can manage all aspects of the account.,,ROLE,
2023-08-25 09:03:33.154000-07:00,,ADMINISTRATIVE_EDITOR,,USERADMIN,ROLE,
2023-08-25 10:52:19.426000-07:00,,CRIMSON_EDITOR,,,ROLE,
2023-08-25 10:52:19.278000-07:00,,CRIMSON_READONLY,,,ROLE,
2023-08-24 13:40:48.822000-07:00,,MASKING_ADMIN,,USERADMIN,ROLE,
2023-08-25 10:52:19.571000-07:00,,CRIMSON_ADMIN,,,ROLE,
2023-08-14 08:23:25.121000-07:00,,SECURITYADMIN,Security administrator can manage security aspects of the account.,,ROLE,
2023-08-14 08:23:25.127000-07:00,,USERADMIN,,,ROLE,
2023-08-14 08:23:25.102000-07:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
2023-08-14 08:23:25.124000-07:00,,SYSADMIN,System administrator can create and manage databases and warehouses.,,ROLE,
2023-08-25 09:03:33.004000-07:00,,ADMINISTRATIVE_READONLY,,USERADMIN,ROLE,
2023-08-25 09:07:43.450000-07:00,,ADMINISTRATIVE_ADMIN,,USERADMIN,ROLE,
2023-08-14 08:23:25.276000-07:00,,ORGADMIN,Organization administrator can manage organizations and accounts in organizations,,ROLE,
