CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-08-17 12:04:26.571000-07:00,,GLOBAL_READONLY,USER,DATAWATCHTOWER,USERADMIN
2023-08-15 12:55:23.871000-07:00,2023-08-15 12:57:06.392000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-08-17 09:01:37.837000-07:00,,ACCOUNTADMIN,USER,HEIDI007,
2023-08-15 12:55:23.867000-07:00,,ACCOUNTADMIN,USER,DRAGONQUEEN,
2023-08-17 09:01:58.499000-07:00,,ACCOUNTADMIN,USER,WARLYBARD1,
2023-08-18 10:58:20.790000-07:00,,ACCOUNTADMIN,USER,SCHEMACHANGE,
2023-08-18 11:51:04.662000-07:00,,MASKING_ADMIN,USER,DATAWATCHTOWER,ACCOUNTADMIN
2023-08-15 12:55:29.100000-07:00,,ORGADMIN,USER,DRAGONQUEEN,
2023-08-17 11:56:16.253000-07:00,,ADVENTUREWORKS_ADMIN,USER,USR_INFORMATICA,USERADMIN
2023-08-17 14:18:40.371000-07:00,,ADVENTUREWORKS_ADMIN,USER,DRAGONQUEEN,USERADMIN
