CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-06-29 06:58:11.527000-07:00,2023-06-29 06:58:11.527000-07:00,USAGE,ROLE,USERADMIN,,,ROLE,SECURITYADMIN,True,,,
2023-06-29 06:58:11.774000-07:00,2023-06-29 06:58:11.774000-07:00,MANAGE ORGANIZATION ACCOUNTS,ACCOUNT,WT77763,,,ROLE,ORGADMIN,True,,,
2023-06-29 06:58:11.546000-07:00,2023-06-29 06:58:11.546000-07:00,ATTACH POLICY,ACCOUNT,WT77763,,,ROLE,SECURITYADMIN,True,,,
2023-06-29 06:58:11.546000-07:00,2023-06-29 06:58:11.546000-07:00,CREATE NETWORK POLICY,ACCOUNT,WT77763,,,ROLE,SECURITYADMIN,True,,,
2023-06-29 06:58:11.573000-07:00,2023-06-29 06:58:11.573000-07:00,MANAGE GLOBAL OBJECTS,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.599000-07:00,2023-06-29 06:58:11.599000-07:00,CREATE RESOURCE MONITOR,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.556000-07:00,2023-06-29 06:58:11.556000-07:00,MONITOR USAGE,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.581000-07:00,2023-06-29 06:58:11.581000-07:00,MONITOR SECURITY,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.529000-07:00,2023-06-29 06:58:11.529000-07:00,USAGE,ROLE,SECURITYADMIN,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.552000-07:00,2023-06-29 06:58:11.552000-07:00,CREATE DATABASE,ACCOUNT,WT77763,,,ROLE,SYSADMIN,True,,,
2023-06-29 06:58:11.552000-07:00,2023-06-29 06:58:11.552000-07:00,CREATE WAREHOUSE,ACCOUNT,WT77763,,,ROLE,SYSADMIN,True,,,
2023-06-29 06:58:11.602000-07:00,2023-06-29 06:58:11.602000-07:00,USAGE,ACCOUNT,WT77763,,,ROLE,PUBLIC,False,,,
2023-06-29 06:58:11.576000-07:00,2023-06-29 06:58:11.576000-07:00,MONITOR EXECUTION,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.534000-07:00,2023-06-29 06:58:11.534000-07:00,USAGE,ROLE,SYSADMIN,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.557000-07:00,2023-06-29 06:58:11.557000-07:00,CREATE SHARE,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.595000-07:00,2023-06-29 06:58:11.595000-07:00,MODIFY,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,False,,,
2023-06-29 06:58:11.574000-07:00,2023-06-29 06:58:11.574000-07:00,EXECUTE TASK,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.548000-07:00,2023-06-29 06:58:11.548000-07:00,MANAGE GRANTS,ACCOUNT,WT77763,,,ROLE,SECURITYADMIN,True,,,
2023-06-29 06:58:11.568000-07:00,2023-06-29 06:58:11.568000-07:00,CREATE INTEGRATION,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.578000-07:00,2023-06-29 06:58:11.578000-07:00,APPLY ROW ACCESS POLICY,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.577000-07:00,2023-06-29 06:58:11.577000-07:00,APPLY MASKING POLICY,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.545000-07:00,2023-06-29 06:58:11.545000-07:00,CREATE USER,ACCOUNT,WT77763,,,ROLE,USERADMIN,True,,,
2023-06-29 06:58:11.596000-07:00,2023-06-29 06:58:11.596000-07:00,MONITOR,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-06-29 06:58:11.575000-07:00,2023-06-29 06:58:11.575000-07:00,EXECUTE MANAGED TASK,ACCOUNT,WT77763,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-05 12:29:40.265000-07:00,2023-07-05 12:29:40.300000-07:00,OWNERSHIP,TABLE,ADWKS_SD_PERSON,CRIMSON_STG,PUBLIC,ROLE,DATA_TEAM_STG,True,DATA_TEAM_STG,2023-07-05 12:29:40.300000-07:00,ROLE
2023-07-26 14:04:26.694000-07:00,2023-07-26 14:04:28.024000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.024000-07:00,ROLE
2023-07-26 14:04:26.902000-07:00,2023-07-26 14:04:28.028000-07:00,CREATE TABLE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.028000-07:00,ROLE
2023-07-26 14:04:27.798000-07:00,2023-07-26 14:04:28.047000-07:00,MONITOR,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.047000-07:00,ROLE
2023-07-26 14:04:27.105000-07:00,2023-07-26 14:04:28.032000-07:00,CREATE TASK,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.032000-07:00,ROLE
2023-07-26 14:04:26.447000-07:00,2023-07-26 14:04:28.022000-07:00,CREATE PROCEDURE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.022000-07:00,ROLE
2023-07-26 14:04:25.849000-07:00,2023-07-26 14:04:28.013000-07:00,CREATE FUNCTION,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.013000-07:00,ROLE
2023-07-26 14:04:27.415000-07:00,2023-07-26 14:04:28.040000-07:00,CREATE VIEW,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.040000-07:00,ROLE
2023-07-26 14:04:27.578000-07:00,2023-07-26 14:04:28.043000-07:00,MODIFY,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.043000-07:00,ROLE
2023-07-26 14:04:27.256000-07:00,2023-07-26 14:04:28.036000-07:00,CREATE TEMPORARY TABLE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.036000-07:00,ROLE
2023-07-26 14:04:25.254000-07:00,2023-07-26 14:04:28.051000-07:00,USAGE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.051000-07:00,ROLE
2023-07-26 14:04:26.169000-07:00,2023-07-26 14:04:28.018000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.018000-07:00,ROLE
2023-07-26 14:04:25.627000-07:00,2023-07-26 14:04:28.010000-07:00,CREATE FILE FORMAT,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_EDITOR,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.010000-07:00,ROLE
2023-07-26 14:00:21.360000-07:00,2023-07-26 14:04:28.054000-07:00,USAGE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_USER,False,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.054000-07:00,ROLE
2023-07-26 14:04:28.225000-07:00,2023-07-26 14:04:28.225000-07:00,USAGE,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_USER,False,SMART_RECRUITER_ADMIN,,ROLE
2023-07-26 14:00:21.132000-07:00,2023-07-26 14:04:28.006000-07:00,OWNERSHIP,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_ADMIN,True,SMART_RECRUITER_ADMIN,2023-07-26 14:04:28.006000-07:00,ROLE
2023-07-26 14:04:28.056000-07:00,2023-07-26 14:04:28.056000-07:00,OWNERSHIP,SCHEMA,PUBLIC,SMART_RECRUITER,PUBLIC,ROLE,SMART_RECRUITER_ADMIN,True,SMART_RECRUITER_ADMIN,,ROLE
2023-07-14 10:41:55.341000-07:00,2023-07-14 10:41:55.341000-07:00,CREATE NETWORK POLICY,ACCOUNT,WT77763,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-14 10:41:56.406000-07:00,2023-07-14 10:41:56.406000-07:00,ATTACH POLICY,ACCOUNT,WT77763,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-14 10:41:56.066000-07:00,2023-07-14 10:41:56.066000-07:00,MANAGE GRANTS,ACCOUNT,WT77763,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-06 08:24:16.364000-07:00,2023-07-06 08:24:16.364000-07:00,REFERENCES,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.345000-07:00,2023-07-06 08:24:16.345000-07:00,OWNERSHIP,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,True,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.372000-07:00,2023-07-06 08:24:16.372000-07:00,UPDATE,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.359000-07:00,2023-07-06 08:24:16.359000-07:00,DELETE,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.362000-07:00,2023-07-06 08:24:16.362000-07:00,INSERT,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.367000-07:00,2023-07-06 08:24:16.367000-07:00,SELECT,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
2023-07-06 08:24:16.369000-07:00,2023-07-06 08:24:16.369000-07:00,TRUNCATE,TABLE,INDIANA_CERTIFIED_DIVERSITY_VENDORS_A,GROUP_A,PUBLIC,ROLE,GROUP_A_USER,False,GROUP_A_USER,,ROLE
