CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-06-29 07:09:37.911000-07:00,,FIVETRAN_ROLE,USER,FIVETRAN_USER,ACCOUNTADMIN
2023-06-29 07:02:43.254000-07:00,,FIVETRAN_ROLE,USER,JTODHUNT2,ACCOUNTADMIN
2023-07-05 12:07:40.060000-07:00,,DATA_TEAM_STG,USER,JTODHUNT2,ACCOUNTADMIN
2023-06-29 06:58:11.544000-07:00,2023-06-29 07:00:05.952000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-06-29 07:09:13.173000-07:00,2023-06-29 07:09:21.379000-07:00,ACCOUNTADMIN,USER,FIVETRAN_USER,
2023-06-29 06:58:11.539000-07:00,,ACCOUNTADMIN,USER,JTODHUNT2,
2023-07-14 07:46:00.941000-07:00,,ACCOUNTADMIN,USER,HEIDI007,
2023-07-14 07:45:49.662000-07:00,,ACCOUNTADMIN,USER,WARLYBARD1,
2023-06-30 08:24:50.468000-07:00,,PC_INFORMATICA_ROLE,USER,PC_INFORMATICA_USER,ACCOUNTADMIN
2023-06-29 06:58:16.984000-07:00,,ORGADMIN,USER,JTODHUNT2,
2023-07-05 10:07:07.958000-07:00,,GROUP_A_USER_STG,USER,JTODHUNT2,ACCOUNTADMIN
2023-07-12 09:22:57.976000-07:00,,VHOL,USER,JTODHUNT2,ACCOUNTADMIN
2023-07-05 11:13:44.110000-07:00,2023-07-05 11:35:16.794000-07:00,GROUP_A_USER,USER,JTODHUNT2,ACCOUNTADMIN
2023-07-05 11:36:28.198000-07:00,,GROUP_A_USER,USER,JTODHUNT2,ACCOUNTADMIN
2023-07-17 10:27:11.016000-07:00,,PC_INFORMATICALOADER_ROLE,USER,PC_INFORMATICALOADER_USER,ACCOUNTADMIN
2023-07-14 10:28:57.234000-07:00,,PYTHONRUN,USER,PYTHONRUN,ACCOUNTADMIN
2023-07-05 11:52:44.597000-07:00,,DATA_TEAM,USER,JTODHUNT2,ACCOUNTADMIN
