CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-07-27 10:30:36.351000-07:00,2023-07-27 10:30:36.351000-07:00,MODIFY,ACCOUNT,DG83080,,,ROLE,ACCOUNTADMIN,False,,,
2023-07-27 10:30:36.336000-07:00,2023-07-27 10:30:36.336000-07:00,MONITOR EXECUTION,ACCOUNT,DG83080,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-27 10:30:36.329000-07:00,2023-07-27 10:30:36.329000-07:00,CREATE SHARE,ACCOUNT,DG83080,,,ROLE,ACCOUNTADMIN,True,,,
2023-07-28 12:49:35.270000-07:00,2023-07-28 12:49:35.270000-07:00,MANAGE GRANTS,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-28 12:49:34.944000-07:00,2023-07-28 12:49:34.944000-07:00,CREATE NETWORK POLICY,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-28 12:49:35.001000-07:00,2023-07-28 12:49:35.001000-07:00,ATTACH POLICY,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,SECURITYADMIN,,ROLE
2023-07-28 12:43:45.816000-07:00,2023-07-28 12:48:00.120000-07:00,USAGE,ROLE,ALL_EXTERNAL_REPORTS_READONLY,,,ROLE,PYTHONRUN,False,USERADMIN,2023-07-28 12:48:00.120000-07:00,ROLE
2023-07-28 12:43:29.436000-07:00,2023-07-28 12:47:53.680000-07:00,USAGE,ROLE,ALL_EXTERNAL_REPORTS_EDITOR,,,ROLE,PYTHONRUN,False,USERADMIN,2023-07-28 12:47:53.680000-07:00,ROLE
2023-07-28 12:49:34.693000-07:00,2023-07-28 12:49:34.693000-07:00,CREATE ROLE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,USERADMIN,,ROLE
2023-07-28 12:49:35.285000-07:00,2023-07-28 12:49:35.285000-07:00,CREATE USER,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,USERADMIN,,ROLE
2023-07-28 12:27:10.231000-07:00,2023-07-28 12:27:10.231000-07:00,OWNERSHIP,ROLE,ALL_IUF_HR_SYSTEMS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:15.134000-07:00,2023-07-28 12:27:15.134000-07:00,OWNERSHIP,ROLE,DAYFORCE_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:07.255000-07:00,2023-07-28 12:27:07.255000-07:00,OWNERSHIP,ROLE,ALL_EXTERNAL_REPORTS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:19.391000-07:00,2023-07-28 12:27:19.391000-07:00,OWNERSHIP,ROLE,PRODUCTION,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:13:15.330000-07:00,2023-07-28 12:13:15.330000-07:00,OWNERSHIP,ROLE,USER_RW,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:13.830000-07:00,2023-07-28 12:27:13.830000-07:00,OWNERSHIP,ROLE,CRIMSON_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:17.682000-07:00,2023-07-28 12:27:17.682000-07:00,OWNERSHIP,ROLE,IUF_EXTERNAL_REPORTS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:44.793000-07:00,2023-07-28 12:27:44.793000-07:00,OWNERSHIP,ROLE,WORKGROUP_B_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:13.051000-07:00,2023-07-28 12:27:13.051000-07:00,OWNERSHIP,ROLE,ALL_IUF_WORKGROUPS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
