CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-07-27 10:30:36.319000-07:00,2023-07-27 10:33:05.355000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-07-28 07:44:28.819000-07:00,,ACCOUNTADMIN,USER,HEIDI007,
2023-07-28 07:44:36.414000-07:00,,ACCOUNTADMIN,USER,WARLYBARD1,
2023-07-27 10:30:36.316000-07:00,,ACCOUNTADMIN,USER,DRAGONQUEEN,
2023-07-27 10:30:41.063000-07:00,,ORGADMIN,USER,DRAGONQUEEN,
2023-07-27 14:07:26.734000-07:00,2023-07-28 07:50:04.873000-07:00,WORKGROUP_B_DEV_READONLY,USER,DRAGONQUEEN,ACCOUNTADMIN
2023-07-27 14:09:33.889000-07:00,2023-07-28 07:50:07.852000-07:00,WORKGROUP_B_STG_READONLY,USER,DRAGONQUEEN,ACCOUNTADMIN
2023-07-27 14:16:15.817000-07:00,2023-07-28 07:50:06.465000-07:00,WORKGROUP_B_READONLY,USER,SNOWTEST,ACCOUNTADMIN
2023-07-28 09:47:26.223000-07:00,2023-07-28 12:27:22.774000-07:00,WORKGROUP_A_EDITOR,USER,SNOWTEST,ACCOUNTADMIN
2023-07-28 12:52:44.875000-07:00,,PYTHONRUN,USER,PYTHONRUN,ACCOUNTADMIN
