CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-31 09:13:21.706000-07:00,,ALL_NONIUF_SYSTEMS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:26.799000-07:00,,IUF_EXTERNAL_REPORTS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:41.854000-07:00,,ALL_REPORTING_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:18.837000-07:00,,IUF_INTERNAL_REPORTS_READONLY,,USERADMIN,ROLE,
2023-07-28 14:25:23.068000-07:00,,CRIMSON_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:19.211000-07:00,,ALL_IUF_HR_SYSTEMS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:18.127000-07:00,,ALL_IUF_SYSTEMS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:12:46.415000-07:00,,ALL_SYSTEMS_STG_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:16.230000-07:00,,FEM_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:12:55.371000-07:00,,ALL_INTERNAL_REPORTS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:12:38.749000-07:00,,ALL_REPORTING_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:12.300000-07:00,,ALL_IUF_WORKGROUPS_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:25.388000-07:00,,ALL_NONIUF_SYSTEMS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:12:48.500000-07:00,,ALL_WORKGROUPS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:16.235000-07:00,,ALL_IUF_SYSTEMS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 10:01:47.392000-07:00,,WORKGROUP_C_EDITOR,,USERADMIN,ROLE,
2023-07-27 13:43:01.553000-07:00,2023-07-28 07:48:20.712000-07:00,IUF_INTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-27 12:48:44.257000-07:00,2023-07-28 12:27:08.893000-07:00,ALL_INTERNAL_REPORTS_READONLY,Enterprise IUF Wide Reports,,ROLE,
2023-07-27 13:51:40.861000-07:00,2023-07-28 09:59:01.255000-07:00,SMART_RECRUITER_ADMIN,,,ROLE,
2023-07-28 08:05:10.027000-07:00,2023-07-28 12:27:10.217000-07:00,ALL_IUF_HR_SYSTEMS_READONLY,,,ROLE,
2023-07-28 07:58:18.547000-07:00,2023-07-28 08:02:50.575000-07:00,FEM_STG_ADMIN,,,ROLE,
2023-07-27 13:48:02.269000-07:00,2023-07-28 07:48:14.797000-07:00,IUF_EXTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 12:12:34.851000-07:00,2023-07-27 13:42:14.543000-07:00,WORK_GROUP_C_STG_EDITOR,,,ROLE,
2023-07-27 13:51:08.652000-07:00,2023-07-28 12:27:15.125000-07:00,DAYFORCE_EDITOR,,,ROLE,
2023-07-27 13:17:38.887000-07:00,2023-07-27 13:42:04.891000-07:00,IUF_INTERNAL_REPORTS_DEV,,,ROLE,
2023-07-27 13:51:57.719000-07:00,2023-07-28 08:03:01.747000-07:00,SMART_RECRUITER_DEV_READONLY,,,ROLE,
2023-07-28 09:55:43.092000-07:00,2023-07-28 12:27:17.151000-07:00,IUF_EXTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 13:51:11.629000-07:00,2023-07-28 08:02:40.678000-07:00,DAYFORCE_STG,,,ROLE,
2023-07-27 12:39:46.156000-07:00,2023-07-27 13:41:56.406000-07:00,FEM_READONLY,,,ROLE,
2023-07-27 12:12:33.763000-07:00,2023-07-27 13:06:48.602000-07:00,WORK_GROUP_C_ADMIN,,,ROLE,
2023-07-27 13:11:32.543000-07:00,2023-07-27 13:41:59.831000-07:00,IUF_EXTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-27 13:49:55.466000-07:00,2023-07-28 07:51:29.985000-07:00,WORKGROUP_C,,,ROLE,
2023-07-27 13:49:36.635000-07:00,2023-07-28 07:50:07.205000-07:00,WORKGROUP_B_STG_EDITOR,,,ROLE,
2023-07-27 13:04:44.283000-07:00,2023-07-27 13:10:01.397000-07:00,EXTERNAL_REPORTS_STG_READONLY,,,ROLE,
2023-07-31 10:01:50.326000-07:00,,WORKGROUP_C_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:37.272000-07:00,,DEVELOPMENT,,USERADMIN,ROLE,
2023-07-27 13:11:33.027000-07:00,2023-07-27 13:41:58.966000-07:00,IUF_EXTERNAL_REPORTS_DEV_EDITOR,,,ROLE,
2023-07-27 13:47:08.594000-07:00,2023-07-28 08:02:46.597000-07:00,FEM_DEV,,,ROLE,
2023-07-27 12:39:47.943000-07:00,2023-07-27 13:41:58.327000-07:00,FEM_STG_READONLY,,,ROLE,
2023-07-27 10:30:36.305000-07:00,,USERADMIN,,,ROLE,
2023-07-27 13:49:26.067000-07:00,2023-07-28 08:03:09.068000-07:00,WORKGROUP_A_DEV_READONLY,,,ROLE,
2023-07-27 11:42:33.555000-07:00,2023-07-28 08:02:44.448000-07:00,DEVELOPMENT,,,ROLE,
2023-07-31 09:12:34.254000-07:00,,IUF_ORG_ADMIN_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:45.624000-07:00,,ALL_SYSTEMS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:38.010000-07:00,,DEVELOPMENT_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:18.704000-07:00,,ALL_IUF_SYSTEMS_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:53:57.850000-07:00,,DAYFORCE_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:28.942000-07:00,,IUF_EXTERNAL_REPORTS_STG_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:11.275000-07:00,,ALL_IUF_SYSTEMS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:52.451000-07:00,,ALL_EXTERNAL_REPORTS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:12:36.806000-07:00,,STAGING_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:50.751000-07:00,,ALL_EXTERNAL_REPORTS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:56:40.093000-07:00,,SMART_RECRUITER_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:19.660000-07:00,,ALL_IUF_HR_SYSTEMS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-28 14:11:30.979000-07:00,,FEM_STG_EDITOR,,USERADMIN,ROLE,
2023-07-27 13:49:35.050000-07:00,2023-07-28 07:50:05.778000-07:00,WORKGROUP_B_EDITOR,,,ROLE,
2023-07-27 12:53:44.168000-07:00,2023-07-28 08:02:57.279000-07:00,IUF_WORKGROUPS_STG,,,ROLE,
2023-07-28 07:58:17.336000-07:00,2023-07-28 08:02:52.086000-07:00,FEM_STG_READONLY,,,ROLE,
2023-07-27 13:49:26.579000-07:00,2023-07-28 08:03:08.433000-07:00,WORKGROUP_A_DEV_EDITOR,,,ROLE,
2023-07-28 08:13:33.672000-07:00,2023-07-28 08:15:26.041000-07:00,IUF_INTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-27 13:42:57.304000-07:00,2023-07-28 07:48:21.419000-07:00,IUF_INTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-28 08:13:33.870000-07:00,2023-07-28 08:15:18.698000-07:00,IUF_INTERNAL_REPORTS_DEV_EDITOR,,,ROLE,
2023-07-28 07:58:19.815000-07:00,2023-07-28 08:02:48.747000-07:00,FEM_DEV_READONLY,,,ROLE,
2023-07-27 12:50:06.828000-07:00,2023-07-28 08:02:58.008000-07:00,ORGANIZATION_WIDE_DEV,,,ROLE,
2023-07-27 13:13:02.112000-07:00,2023-07-27 13:42:08.081000-07:00,IUF_INTERNAL_REPORTS_READONLY,,,ROLE,
2023-07-27 13:51:12.204000-07:00,2023-07-28 08:02:43.184000-07:00,DAYFORCE_STG_READONLY,,,ROLE,
