CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-09-12 04:23:05.666000-07:00,2023-09-12 04:23:05.666000-07:00,CREATE ACCOUNT,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.691000-07:00,2023-09-12 04:23:05.691000-07:00,MONITOR,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.655000-07:00,2023-09-12 04:23:05.655000-07:00,CREATE USER,ACCOUNT,LD96699,,,ROLE,USERADMIN,True,,,
2023-09-12 04:23:05.693000-07:00,2023-09-12 04:23:05.693000-07:00,USAGE,ACCOUNT,LD96699,,,ROLE,PUBLIC,False,,,
2023-09-12 04:23:05.671000-07:00,2023-09-12 04:23:05.671000-07:00,EXECUTE MANAGED TASK,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.669000-07:00,2023-09-12 04:23:05.669000-07:00,MANAGE GLOBAL OBJECTS,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.663000-07:00,2023-09-12 04:23:05.663000-07:00,MONITOR USAGE,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:44.095000-07:00,2023-09-12 04:23:44.095000-07:00,OWNERSHIP,WAREHOUSE,COMPUTE_WH,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-09-12 10:01:27.584000-07:00,2023-09-12 10:01:27.584000-07:00,OWNERSHIP,RESOURCE MONITOR,ACCOUNT_GIRDLE,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-09-12 04:23:05.651000-07:00,2023-09-12 04:23:05.651000-07:00,OWNERSHIP,USER,WARLYBARD1,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-09-12 04:23:09.422000-07:00,2023-09-12 04:23:09.422000-07:00,USAGE,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,PUBLIC,False,ACCOUNTADMIN,,ROLE
2023-09-12 04:23:09.014000-07:00,2023-09-12 04:23:09.014000-07:00,OWNERSHIP,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-09-12 04:23:05.664000-07:00,2023-09-12 04:23:05.664000-07:00,IMPORT SHARE,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.669000-07:00,2023-09-12 04:23:05.669000-07:00,EXECUTE TASK,ACCOUNT,LD96699,,,ROLE,ACCOUNTADMIN,True,,,
2023-09-12 04:23:05.656000-07:00,2023-09-12 04:23:05.656000-07:00,CREATE ROLE,ACCOUNT,LD96699,,,ROLE,USERADMIN,True,,,
